id,Nome_escola,Cod_inep,Bairro_polo,Enderenco_polo,lat,long,Gee,Tipo_ensino,_correcao
83,ESCOLA ESTADUAL PROFESSORA MARGAREZ MARIA SANTOS LACET,27037053,TABULEIRO DOS MARTINS,AV GENERAL WALFRIDO JERONIMO DA ROCHA,-9.583543284,-35.77393422,1ª,Escola de Ensino Regular,
84,ESCOLA ESTADUAL PROFESSORA MIRAN MARROQUIM DE QUINTELLA CAVALCANTE,27035980,JACINTINHO,RUA DA LIBERDADE,-9.633568019,-35.72265793,1ª,Escola de Ensino Regular,
85,ESCOLA ESTADUAL PROFESSORA ROSALVA PEREIRA VIANA,27224791,SANTA LUCIA,LOT POR DO SOL QUADRA D SANTA LUCIA,-9.571022006,-35.75071085,13ª,Escola de Ensino Regular,
86,ESCOLA ESTADUAL PROFa AURELINA PALMEIRA DE MELO,27038564,VERGEL DO LAGO,PRACA PADRE CICERO ROMAO BATISTA,-9.658614976,-35.7581448,1ª,Escola de Ensino Regular,
87,ESCOLA ESTADUAL PROFa BENEDITA DE CASTRO LIMA,27226271,CLIMA BOM,R SANTA RITA -CLIMA BOM II,-9.569858182,-35.78571336,13ª,Escola em tempo integral,
88,ESCOLA ESTADUAL PROFa GILVANA ATAIDE CAVALCANTE CABRAL,27226930,TABULEIRO DOS MARTINS,RUA ELINELMA DE OLIVEIRA SANTOS,-9.577377039,-35.74961946,13ª,Escola em tempo integral,
89,ESCOLA ESTADUAL PROFa GUIOMAR DE ALMEIDA PEIXOTO,27035840,PONTA GROSSA,RUA SANTO ANTONIO,-9.65981769,-35.75146101,1ª,Escola em tempo integral,
90,ESCOLA ESTADUAL PROFa JOSEFA CONCEICAO DA COSTA,27037142,CANAA,RUA PAO DE ACUCAR,-9.604879294,-35.73738581,13ª,Escola de Ensino Regular,
91,ESCOLA ESTADUAL PROFa MALBA LINS COSTA,27035778,NOVO MUNDO,TRAVESSA BOA ESPERANCA,-9.619752951,-35.72737362,1ª,Escola de Ensino Regular,
92,ESCOLA ESTADUAL PROFa MARIA DAS GRACAS DE SA TEIXEIRA,27225569,FEITOSA,AV GOV LAMENHA FILHO,-9.633780446,-35.72517327,1ª,Escola de Ensino Regular,
93,ESCOLA ESTADUAL PROFa MARIA JOSE LOUREIRO,27037061,FAROL,AVENIDA FERNANDES LIMA,-9.640057816,-35.73601347,13ª,Escola em tempo integral,
94,ESCOLA ESTADUAL PROFa MARIA LUCIA LINS DE FREITAS,27230040,CIDADE UNIVERSITARIA,RUA 26 GRACILLIANO RAMOS,-9.546204888,-35.74864659,13ª,Escola de Ensino Regular,
95,ESCOLA ESTADUAL PROFo BENEDITO MORAES,27034852,PAJUCARA,RUA DR ZEFERINO RODRIGUES,-9.664702689,-35.71920758,1ª,Escola em tempo integral,
96,ESCOLA ESTADUAL PROFo CARLOS POVINA CAVALCANTE,27039005,PESCARIA,RUA SANTA LUZIA,-9.538499688,-35.62140373,1ª,Escola de Ensino Regular,
97,ESCOLA ESTADUAL ROMEU DE AVELAR,27037088,TABULEIRO NOVO,RUA ROMEU DE AVELAR,-9.570708528,-35.76810524,13ª,Escola em tempo integral,
98,ESCOLA ESTADUAL ROTARY,27037118,TABULEIRO DO MARTINS,AVENIDA DURVAL DE GOES MONTEIRO,-9.578000,-35.762000,6ª,Escola de Ensino Regular,Coordenada original apontava para Santana do Ipanema (~180km de distancia). Corrigida para o bairro Tabuleiro dos Martins/Canaa com base na media de escolas vizinhas confirmadas.
99,ESCOLA ESTADUAL SANTA TEREZA D AVILA,27037185,SANTO AMARO,RUA SANTO AMARO,-9.608485803,-35.74225377,1ª,Escola de Ensino Regular,
100,ESCOLA ESTADUAL TARCISIO DE JESUS,27036499,TRAPICHE DA BARRA,AVENIDA SENADOR RUI PALMEIRA,-9.670459475,-35.76414743,1ª,Escola em tempo integral,
101,ESCOLA ESTADUAL TAVARES BASTOS,27038637,FAROL,PRACA DO CENTENARIO,-9.653844514,-35.73355036,13ª,Escola de Ensino Regular,
102,ESCOLA ESTADUAL TEOTONIO VILELA,27035832,FAROL,AV FERNANDES LIMA,-9.639014474,-35.73829739,13ª,Escola em tempo integral,
103,ESCOLA ESTADUAL THOMAZ ESPINDOLA,27038653,PONTA GROSSA,RUA VEREADOR JOSE DE CALDAS,-9.657258319,-35.75119544,1ª,Escola de Ensino Regular,
104,ESCOLA TECNICA DE SAUDE PROFESSORA VALERIA HORA,27224929,CENTRO,RUA DOUTOR PEDRO MONTEIRO,-9.668361,-35.740368,1ª,Escola de Ensino Regular,
